====================================================================================================
FILE: raw/2024-25/monthly/April_Part-II_List_of_tables.pdf
PAGES: 572
====================================================================================================
Page   1 | text_chars=    0 | images= 1 | 
Page   2 | text_chars= 4915 | images= 1 | List of Tables Central Sector Infrastructure Projects APR‐2024 Contents TABLE 1: Executive Summary Costing Rs 150 Crore And Above………………………………………………………..…………1 TABLE 2: Month wise Li
Page   3 | text_chars= 1098 | images= 1 | List of Tables Central Sector Infrastructure Projects APR‐2024 Annexure IX: Details of Projects Without Date of Commissioning…………………………………………………………………...253 Annexure X: Details of 
Page   4 | text_chars=  824 | images= 1 | TABLE-1 EXECUTIVE SUMMARY COSTING Rs. 150 Crore and above Sl.No. Sector Projects on Monitor Projects Additionally Delayed 1 ROAD TRANSPORT AND HIGHWAYS 1073 194 2 RAILWAYS 237 18 3
Page   5 | text_chars= 3492 | images= 1 | TABLE-2 Month wise List of Completed Projects Costing Rs. 150 crore and above during 2024-2025 Sl. No Project Name Original Cost (Rs. crore) Original Date of commissioning Cumulati
Page   6 | text_chars= 3928 | images= 1 | Month wise List of Completed Projects Costing Rs. 150 crore and above during 2024-2025 Sl. No Project Name Original Cost (Rs. crore) Original Date of commissioning Cumulative Expen
Page   7 | text_chars= 3766 | images= 1 | Month wise List of Completed Projects Costing Rs. 150 crore and above during 2024-2025 Sl. No Project Name Original Cost (Rs. crore) Original Date of commissioning Cumulative Expen
Page   8 | text_chars= 1437 | images= 1 | Month wise List of Completed Projects Costing Rs. 150 crore and above during 2024-2025 Sl. No Project Name Original Cost (Rs. crore) Original Date of commissioning Cumulative Expen
Page   9 | text_chars=  360 | images= 1 | TABLE-3 Month wise List of Deleted Projects Costing Rs. 150 crore and above during 2024-2025 Sl. No Project Name Original Cost (Rs. crore) Original Date of Commissioning Cumulative
Page  10 | text_chars= 1790 | images= 1 | TABLE-4 Project status Rs. 150 Crore and above Number of Projects With Respect To Delayed Ahead On schedule Without ODC but DOC available Without D.O.C Total Original ( Date ) 792 
Page  11 | text_chars= 1505 | images= 1 | Delayed Project cost Rs. 150 Crore and above (All Cost/ Expenditure in Rs. crore ) Cost overrun With Respect to No. of Projects Sanctioned Cost Anticipated Cost Expenditure Cost % 
Page  12 | text_chars= 2344 | images= 1 | TABLE-5 Extent of cost overrun in projects with respect to original cost (Sector Wise) Rs. (All Cost/ Expenditure in Rs. crore ) 150 Crore and above Projects with cost overrun^ SI.
Page  13 | text_chars= 3242 | images= 1 | TABLE-6 Extent of cost overrun in projects with respect to original cost (State Wise) Rs. (All Cost/ Expenditure in Rs. crore 150 Crore and above Projects with cost overrun^ SI.No 
Page  14 | text_chars= 2340 | images= 1 | TABLE-7 $- Time overrun = Anticipated Date of Commissioning minus Original Date of Commissioning Extent of time overrun in projects with respect to original schedule Rs. (All Cost/
Page  15 | text_chars= 3359 | images= 1 | TABLE-8 $- Time overrun = Anticipated Date of Commissioning minus Original Date of Commissioning Extent of time overrun in projects with respect to original schedule(State Wise) Rs
Page  16 | text_chars= 2326 | images= 1 | TABLE-9 $- Time overrun = Anticipated Date of Commissioning minus Revised/Original Date of Commissioning Extent of time overrun in projects with respect to latest schedule Rs. (All
Page  17 | text_chars= 2351 | images= 1 | TABLE-10 Extent of cost overrun in projects with respect to latest cost Rs. (All Cost/ Expenditure in Rs. crore) 150 Crore and above Projects with cost overruns^ SI.No. Sector No. 
Page  18 | text_chars= 2504 | images= 1 | TABLE-11 Extent of time & cost overrun in projects with respect to latest schedule&cost Rs. (All Cost/ Expenditure in Rs. crore) 150 Crore and above Projects with time$ & cost over
Page  19 | text_chars= 2467 | images= 1 | TABLE-12 Extent of time & cost overrun in projects with respect to original schedule&cost Rs. (All Cost/ Expenditure in Rs. crore 150 Crore and above Projects with time$ & cost ove
Page  20 | text_chars= 2854 | images= 1 | TABLE-13 List of projects completed/dropped/Frozen during current month Rs. (All Cost/ Expenditure in Rs. crore) 150 Crore and above Original Now anticipated SI.No Project DOA Cost
Page  21 | text_chars= 3122 | images= 1 | List of projects completed/dropped/Frozen during current month Rs. (All Cost/ Expenditure in Rs. crore) 150 Crore and above Original Now anticipated SI.No Project DOA Cost DOC Cost
Page  22 | text_chars= 2625 | images= 1 | List of projects completed/dropped/Frozen during current month Rs. (All Cost/ Expenditure in Rs. crore) 150 Crore and above Original Now anticipated SI.No Project DOA Cost DOC Cost
Page  23 | text_chars= 1668 | images= 1 | List of projects completed/dropped/Frozen during current month Rs. (All Cost/ Expenditure in Rs. crore) 150 Crore and above Original Now anticipated SI.No Project DOA Cost DOC Cost
