====================================================================================================
FILE: raw/2016-17/monthly/FR_APr_2016.pdf
PAGES: 355
====================================================================================================
Page   1 | text_chars=    0 | images= 2 | 
Page   2 | text_chars= 3001 | images= 0 | Abbreviations used in the report AAI Airport Authority of India Ltd. AERB Atomic Energy Regulatory Board AIBP Accelerated Irrigation Benefit Programme AIR All India Radio APW Activ
Page   3 | text_chars= 3031 | images= 0 | LEP Life Extension Program LOI Letter of Intent LPG Liquified Petroleum Gas LSTK Lump sum Turnkey contract MAMC Minning & Allied Machinery Corporation. MFL Madras Fertilizer Ltd. M
Page   4 | text_chars= 2047 | images= 0 | Contents Pages Executive Summary Hindi 1-23 Executive Summary English 24-41 Month wise List of Completed Projects Costing Rs. 150 crore and above during 2015-2016 42-43 Summary of 
Page   5 | text_chars=   81 | images= 2 | vkbZ- ih- ,e- Mh- Hkkjr ljdkj] lkaf[;dh ,oa dk;ZØe dk;kZUo;u ea=ky; 1 MoSPI OCMS
Page   6 | text_chars=   81 | images= 4 | vkbZ- ih- ,e- Mh- Hkkjr ljdkj] lkaf[;dh ,oa dk;ZØe dk;kZUo;u ea=ky; 2 MoSPI OCMS
Page   7 | text_chars=   81 | images= 0 | vkbZ- ih- ,e- Mh- Hkkjr ljdkj] lkaf[;dh ,oa dk;ZØe dk;kZUo;u ea=ky; 3 MoSPI OCMS
Page   8 | text_chars=   81 | images= 0 | vkbZ- ih- ,e- Mh- Hkkjr ljdkj] lkaf[;dh ,oa dk;ZØe dk;kZUo;u ea=ky; 4 MoSPI OCMS
Page   9 | text_chars=   81 | images= 0 | vkbZ- ih- ,e- Mh- Hkkjr ljdkj] lkaf[;dh ,oa dk;ZØe dk;kZUo;u ea=ky; 5 MoSPI OCMS
Page  10 | text_chars=   81 | images= 0 | vkbZ- ih- ,e- Mh- Hkkjr ljdkj] lkaf[;dh ,oa dk;ZØe dk;kZUo;u ea=ky; 6 MoSPI OCMS
Page  11 | text_chars=   81 | images= 0 | vkbZ- ih- ,e- Mh- Hkkjr ljdkj] lkaf[;dh ,oa dk;ZØe dk;kZUo;u ea=ky; 7 MoSPI OCMS
Page  12 | text_chars=   81 | images= 0 | vkbZ- ih- ,e- Mh- Hkkjr ljdkj] lkaf[;dh ,oa dk;ZØe dk;kZUo;u ea=ky; 8 MoSPI OCMS
