project_code,reporting_month,project_name,agency,state,approval_date,original_cost,revised_cost,anticipated_cost,cumulative_expenditure,physical_progress,original_doc,revised_doc,anticipated_doc,original_delay_months,revised_delay_months,milestones_achieved,milestones_total,source_file,source_unit,source_cost_field,source_cost_raw,normalization_applied,normalization_confidence
020100044,2018-04,PROTOTYPE FAST BREEDER REACTOR (BHAVINI 500 MWE),BHAVNI,TAMIL NADU,2003-09,3492.0,5677.0,6100.0,5607.02,,2010-09,2018-06,2016-09,,,,,historical_2018_april.json,RS_CRORE,TOTAL_ANTICIPATED,6100.0,NONE,UNCERTAIN
020100044,2019-04,PROTOTYPE FAST BREEDER REACTOR (BHAVINI 500 MWE),BHAVNI,TAMIL NADU,,39849.0,,39849.0,13910.0,,2020-11,2023-11,,,,23.0,76.0,historical_2019_april.json,RS_CRORE,TOTAL_ANTICIPATED,39849.0,NONE,UNCERTAIN
020100044,2020-04,PROTOTYPE FAST BREEDER REACTOR (BHAVINI 500 MWE),BHAVNI,TAMIL NADU,,3492.0,5677.0,6840.0,5872.78,,2010-09,2016-09,2022-10,,,83.0,87.0,historical_2020_april.json,RS_CRORE,TOTAL_ANTICIPATED,6840.0,NONE,UNCERTAIN
020100044,2021-04,PROTOTYPE FAST BREEDER REACTOR (BHAVINI 500 MWE),BHAVNI,TAMIL NADU,2003-09,3492.0,5677.0,6840.0,5935.96,,2010-09,2016-09,2022-10,145.0,0.0,83.0,87.0,historical_2021_april.json,RS_CRORE,TOTAL_ANTICIPATED,6840.0,NONE,UNCERTAIN
020100044,2022-04,PROTOTYPE FAST BREEDER REACTOR (BHAVINI 500 MWE),BHAVNI,TAMIL NADU,2003-09,3492.0,6840.0,6840.0,6385.2,,2010-09,2022-10,2023-12,159.0,0.0,83.0,87.0,historical_2022_april.json,RS_CRORE,TOTAL_ANTICIPATED,6840.0,NONE,UNCERTAIN
020100044,2023-04,"Bhavini Limited PROTOTYPE FAST BREEDER REACTOR (BHAVINI, 500 MWE)",BHAVNI,TAMIL NADU Nuclear Power Corporation Of India,2003-09,3492.0,6840.0,7670.0,6534.68,,2010-09,2022-10,2024-12,,171.0,83.0,87.0,historical_2023_april.json,RS_CRORE,TOTAL_ANTICIPATED,7670.0,NONE,UNCERTAIN
020100044,2024-04,"PROTOTYPE FAST BREEDER REACTOR (BHAVINI, 500 MWE)",,SIKKIM,2003-09,3492.0,,3492.0,6517.22,,2010-09,,,,,,,historical_2024_april.json,RS_CRORE,TOTAL_ANTICIPATED,3492.0,NONE,UNCERTAIN
060100092,2018-04,KULDA OCP (MAHANADI COALFIELDS LTD),MCL,ODISHA,2005-01,302.96,,302.96,334.77,,2010-03,2018-03,,,,,,historical_2018_april.json,RS_CRORE,TOTAL_ANTICIPATED,302.96,NONE,UNCERTAIN
060100092,2019-04,KULDA OCP (MAHANADI COALFIELDS LTD),MCL,ODISHA,,490.1,,490.1,467.5,,2017-03,2020-03,,,,11.0,12.0,historical_2019_april.json,RS_CRORE,TOTAL_ANTICIPATED,490.1,NONE,UNCERTAIN
060100092,2020-04,KULDA OCP (MAHANADI COALFIELDS LTD),MCL,ODISHA,,302.96,,302.96,270.32,,2010-03,,2020-03,,,10.0,10.0,historical_2020_april.json,RS_CRORE,TOTAL_ANTICIPATED,302.96,NONE,UNCERTAIN
060100093,2018-04,GEVRA EXPANSION OCP (SECL) (35-70) MTY,SECL,CHHATISGARH,2010-06,11816.4,,11816.4,2796.69,,2023-03,2023-03,,,,,,historical_2018_april.json,RS_CRORE,TOTAL_ANTICIPATED,11816.4,NONE,UNCERTAIN
060100093,2019-04,GEVRA EXPANSION OCP (SECL) (35-70) MTY,SECL,CHHATISGARH,,7612.33,,7612.33,2057.66,,2023-03,2023-03,,,,7.0,21.0,historical_2019_april.json,RS_CRORE,TOTAL_ANTICIPATED,7612.33,NONE,UNCERTAIN
060100093,2020-04,GEVRA EXPANSION OCP (SECL) (35-70) MTY,SECL,CHHATISGARH,,11816.4,,11816.4,2924.87,,2023-03,2016-03,2023-03,,,14.0,21.0,historical_2020_april.json,RS_CRORE,TOTAL_ANTICIPATED,11816.4,NONE,UNCERTAIN
060100093,2021-04,", COAL GEVRA EXPANSION OCP (SECL) (35-70) MTY",SECL,CHHATISGARH,2010-06,11816.4,,11816.4,4487.05,,2023-03,2016-03,2023-03,0.0,0.0,15.0,21.0,historical_2021_april.json,RS_CRORE,TOTAL_ANTICIPATED,11816.4,NONE,UNCERTAIN
060100093,2022-04,", COAL GEVRA EXPANSION OCP (SECL) (35-70) MTY",SECL,CHHATISGARH,2010-06,11816.4,,11816.4,5008.54,,2023-03,,2023-03,0.0,,15.0,21.0,historical_2022_april.json,RS_CRORE,TOTAL_ANTICIPATED,11816.4,NONE,UNCERTAIN
060100093,2023-04,PRADESH GEVRA EXPANSION OCP (SECL) (35- 70) MTY,SECL,CHHATTISGARH Western Coal Fields Limited,2010-06,11816.4,11816.4,11816.4,5831.21,,2023-03,2025-03,,,24.0,15.0,21.0,historical_2023_april.json,RS_CRORE,TOTAL_ANTICIPATED,11816.4,NONE,UNCERTAIN
060100093,2024-04,GEVRA EXPANSION OCP (SECL) (35- 70) MTY,,CHHATTISGARH,2010-06,11816.4,11816.4,11816.4,6316.79,,2023-03,2025-03,,,,,,historical_2024_april.json,RS_CRORE,TOTAL_ANTICIPATED,11816.4,NONE,UNCERTAIN
060100093,2025-04,COAL CHHATTISGARH GEVRA EXPANSION MTY (SECL ) ),35-70,,2010-06,11816.4,11816.4,11816.4,6584.29,77.2,,,,,,,,historical_2025_april.json,RS_CRORE,TOTAL_ANTICIPATED,11816.4,NONE,HIGH
060100093,2026-04,GEVRA OC [70 MTY] (South Eastern Coalfields AMERA OC RCE [1.0 MTY] (South Eastern Coalfields,,,,,,,,78.48,,,,,,,,historical_2026_april.json,RS_CRORE,TOTAL_ANTICIPATED,,NONE,HIGH
180100078,2020-04,LOKTAK D/S HEP(NHPC),NHPC,MANIPUR,,578.62,,578.62,0.0,,2006-06,,,,,0.0,0.0,historical_2020_april.json,RS_CRORE,TOTAL_ANTICIPATED,578.62,NONE,UNCERTAIN
180100078,2021-04,LOKTAK D/S HEP(NHPC),NHPC,MANIPUR,1999-12,578.62,,578.62,0.0,,2006-06,,,,,0.0,0.0,historical_2021_april.json,RS_CRORE,TOTAL_ANTICIPATED,578.62,NONE,UNCERTAIN
180100210,2018-04,PARBATI HEP (4X200 MW) (NHPC) II,NHPC,HIMACHAL PRADESH,2002-09,3919.59,68.0,8398.75,6740.1,,2009-09,2020-12,,,,,,historical_2018_april.json,RS_CRORE,TOTAL_ANTICIPATED,8398.75,NONE,UNCERTAIN
180100210,2019-04,PARBATI HEP (4X200 MW) (NHPC) II,NHPC,HIMACHAL PRADESH,,8112.12,8112.12,1086.32,,,2020-04,2023-12,,,,0.0,0.0,historical_2019_april.json,RS_CRORE,TOTAL_ANTICIPATED,1086.32,NONE,UNCERTAIN
